nominal_depth_m,panel_a_depth_m,panel_a_Vs_m_s,panel_b_depth_m,panel_b_Vs_m_s
7.100000000000000000e+01,7.097474101029709459e+01,2.175045391488216069e+02,7.097478901156149789e+01,2.175045391488216069e+02
7.200000000000000000e+01,7.197516489064076950e+01,2.301382800721005708e+02,7.197493105808055702e+01,2.301382800721005708e+02
7.300000000000000000e+01,7.297498624029529424e+01,3.355078594672818326e+02,7.297501285144905125e+01,3.355078594672818326e+02
7.400000000000000000e+01,7.397480156464291667e+01,4.717381928674469123e+02,7.397490786005073460e+01,4.717381928674469123e+02
7.500000000000000000e+01,7.497462291429744141e+01,5.456864788533446244e+02,7.497483299522770039e+01,5.456897048387547784e+02
7.600000000000000000e+01,7.597464309907938684e+01,6.919333991949414440e+02,7.597489671265100242e+01,6.919333991949414440e+02
7.700000000000000000e+01,7.697505492880927136e+01,6.353661360562160780e+02,7.697503875917007576e+01,6.353693620416262320e+02
7.800000000000000000e+01,7.797488230377069840e+01,4.683394706021366574e+02,7.797503619812773934e+01,4.683394706021366574e+02
7.900000000000000000e+01,7.897470967873211123e+01,3.349378376210188435e+02,7.897485890294872490e+01,3.349378376210188435e+02
8.000000000000000000e+01,7.997492267333457505e+01,4.472072132657432348e+02,7.997478403812569070e+01,4.472072132657432348e+02
